"printerName","printerLocation","period","quantity"
"P1","115 Cherry",1,10.000000
"P1","206 Carpenter",0,30.000000
"P1","206 Carpenter",1,30.000000
"P1","206 Carpenter",2,30.000000
"P1","206 Carpenter",3,30.000000
"P1","206 Carpenter",4,30.000000
"P1","206 Carpenter",5,30.000000
"P1","206 Carpenter",6,30.000000
"P1","206 Carpenter",7,30.000000
"P1","206 Carpenter",8,30.000000
"P1","206 Carpenter",9,30.000000
"P1","206 Carpenter",10,30.000000
"P1","206 Carpenter",11,30.000000
"P1","206 Carpenter",12,30.000000
"P1","206 Carpenter",13,30.000000
"P1","206 Carpenter",14,30.000000
"P1","206 Carpenter",15,30.000000
"P1","206 Carpenter",16,30.000000
"P1","206 Carpenter",17,30.000000
"P1","206 Carpenter",18,30.000000
"P1","206 Carpenter",19,30.000000
"P1","206 Carpenter",20,30.000000
"P1","206 Carpenter",21,30.000000
"P1","206 Carpenter",22,30.000000
"P1","206 Carpenter",23,30.000000
"P1","206 Carpenter",24,30.000000
"P1","206 Carpenter",25,30.000000
"P1","206 Carpenter",26,30.000000
"P1","206 Carpenter",27,30.000000
"P1","206 Carpenter",28,30.000000
"P1","206 Carpenter",29,30.000000
"P1","217 Rhodes",0,30.000000
"P1","217 Rhodes",1,30.000000
"P1","217 Rhodes",2,30.000000
"P1","217 Rhodes",3,30.000000
"P1","217 Rhodes",4,30.000000
"P1","217 Rhodes",5,30.000000
"P1","217 Rhodes",6,30.000000
"P1","217 Rhodes",7,30.000000
"P1","217 Rhodes",8,30.000000
"P1","217 Rhodes",9,30.000000
"P1","217 Rhodes",10,30.000000
"P1","217 Rhodes",11,30.000000
"P1","217 Rhodes",12,30.000000
"P1","217 Rhodes",13,30.000000
"P1","217 Rhodes",14,30.000000
"P1","217 Rhodes",15,30.000000
"P1","217 Rhodes",16,30.000000
"P1","217 Rhodes",17,30.000000
"P1","217 Rhodes",18,30.000000
"P1","217 Rhodes",19,30.000000
"P1","217 Rhodes",20,30.000000
"P1","217 Rhodes",21,30.000000
"P1","217 Rhodes",22,30.000000
"P1","217 Rhodes",23,30.000000
"P1","217 Rhodes",24,30.000000
"P1","217 Rhodes",25,30.000000
"P1","217 Rhodes",26,30.000000
"P1","217 Rhodes",27,30.000000
"P1","217 Rhodes",28,30.000000
"P1","217 Rhodes",29,30.000000
"P10","210 Gates",1,50.000000
"P2","217 Rhodes",1,100.000000
